sepal_length,sepal_width,petal_length,petal_width,species,sepal_area
5.1,3.8,0.15254237288135591,0.4,Setosa,19.38
4.8,3.0,0.06779661016949151,0.3,Setosa,14.399999999999999
5.1,3.8,0.1016949152542373,0.2,Setosa,19.38
4.6,3.2,0.06779661016949151,0.2,Setosa,14.719999999999999
5.3,3.7,0.0847457627118644,0.2,Setosa,19.61
5.0,3.3,0.06779661016949151,0.2,Setosa,16.5
7.0,3.2,0.6271186440677966,1.4,Versicolor,22.400000000000002
6.4,3.2,0.5932203389830508,1.5,Versicolor,20.480000000000004
6.9,3.1,0.6610169491525424,1.5,Versicolor,21.39
5.5,2.3,0.5084745762711864,1.3,Versicolor,12.649999999999999
6.5,2.8,0.6101694915254237,1.5,Versicolor,18.2
5.7,2.8,0.5932203389830508,1.3,Versicolor,15.959999999999999
6.3,3.3,0.6271186440677966,1.6,Versicolor,20.79
4.9,2.4,0.38983050847457623,1.0,Versicolor,11.76
6.6,2.9,0.6101694915254237,1.3,Versicolor,19.139999999999997
5.2,2.7,0.4915254237288135,1.4,Versicolor,14.040000000000001
5.0,2.0,0.423728813559322,1.0,Versicolor,10.0
5.9,3.0,0.5423728813559322,1.5,Versicolor,17.700000000000003
6.0,2.2,0.5084745762711864,1.0,Versicolor,13.200000000000001
6.1,2.9,0.6271186440677966,1.4,Versicolor,17.689999999999998
5.6,2.9,0.4406779661016949,1.3,Versicolor,16.24
6.7,3.1,0.576271186440678,1.4,Versicolor,20.77
5.6,3.0,0.5932203389830508,1.5,Versicolor,16.799999999999997
5.8,2.7,0.5254237288135593,1.0,Versicolor,15.66
6.2,2.2,0.5932203389830508,1.5,Versicolor,13.640000000000002
5.6,2.5,0.4915254237288135,1.1,Versicolor,14.0
5.9,3.2,0.6440677966101694,1.8,Versicolor,18.880000000000003
6.1,2.8,0.5084745762711864,1.3,Versicolor,17.08
6.3,2.5,0.6610169491525424,1.5,Versicolor,15.75
6.1,2.8,0.6271186440677966,1.2,Versicolor,17.08
6.4,2.9,0.559322033898305,1.3,Versicolor,18.56
6.6,3.0,0.576271186440678,1.4,Versicolor,19.799999999999997
6.8,2.8,0.6440677966101694,1.4,Versicolor,19.04
6.7,3.0,0.6779661016949152,1.7,Versicolor,20.1
6.0,2.9,0.5932203389830508,1.5,Versicolor,17.4
5.7,2.6,0.423728813559322,1.0,Versicolor,14.82
5.5,2.4,0.47457627118644063,1.1,Versicolor,13.2
5.5,2.4,0.4576271186440678,1.0,Versicolor,13.2
5.8,2.7,0.4915254237288135,1.2,Versicolor,15.66
6.0,2.7,0.6949152542372881,1.6,Versicolor,16.200000000000003
5.4,3.0,0.5932203389830508,1.5,Versicolor,16.200000000000003
6.0,3.4,0.5932203389830508,1.6,Versicolor,20.4
6.7,3.1,0.6271186440677966,1.5,Versicolor,20.77
6.3,2.3,0.576271186440678,1.3,Versicolor,14.489999999999998
5.6,3.0,0.5254237288135593,1.3,Versicolor,16.799999999999997
5.5,2.5,0.5084745762711864,1.3,Versicolor,13.75
5.5,2.6,0.576271186440678,1.2,Versicolor,14.3
6.1,3.0,0.6101694915254237,1.4,Versicolor,18.299999999999997
5.8,2.6,0.5084745762711864,1.2,Versicolor,15.08
5.0,2.3,0.38983050847457623,1.0,Versicolor,11.5
5.6,2.7,0.5423728813559322,1.3,Versicolor,15.12
5.7,3.0,0.5423728813559322,1.2,Versicolor,17.1
5.7,2.9,0.5423728813559322,1.3,Versicolor,16.53
6.2,2.9,0.559322033898305,1.3,Versicolor,17.98
5.1,2.5,0.3389830508474576,1.1,Versicolor,12.75
5.7,2.8,0.5254237288135593,1.3,Versicolor,15.959999999999999
6.3,3.3,0.847457627118644,2.5,Virginica,20.79
5.8,2.7,0.6949152542372881,1.9,Virginica,15.66
7.1,3.0,0.8305084745762712,2.1,Virginica,21.299999999999997
6.3,2.9,0.7796610169491525,1.8,Virginica,18.27
6.5,3.0,0.8135593220338982,2.2,Virginica,19.5
7.6,3.0,0.9491525423728813,2.1,Virginica,22.799999999999997
4.9,2.5,0.5932203389830508,1.7,Virginica,12.25
7.3,2.9,0.8983050847457626,1.8,Virginica,21.169999999999998
6.7,2.5,0.8135593220338982,1.8,Virginica,16.75
7.2,3.6,0.8644067796610169,2.5,Virginica,25.92
6.5,3.2,0.6949152542372881,2.0,Virginica,20.8
6.4,2.7,0.7288135593220338,1.9,Virginica,17.28
6.8,3.0,0.7627118644067796,2.1,Virginica,20.4
5.7,2.5,0.6779661016949152,2.0,Virginica,14.25
5.8,2.8,0.6949152542372881,2.4,Virginica,16.24
6.4,3.2,0.7288135593220338,2.3,Virginica,20.480000000000004
6.5,3.0,0.7627118644067796,1.8,Virginica,19.5
7.7,3.8,0.9661016949152542,2.2,Virginica,29.259999999999998
7.7,2.6,1.0,2.3,Virginica,20.02
6.0,2.2,0.6779661016949152,1.5,Virginica,13.200000000000001
6.9,3.2,0.7966101694915254,2.3,Virginica,22.080000000000002
5.6,2.8,0.6610169491525424,2.0,Virginica,15.679999999999998
7.7,2.8,0.9661016949152542,2.0,Virginica,21.56
6.3,2.7,0.6610169491525424,1.8,Virginica,17.01
6.7,3.3,0.7966101694915254,2.1,Virginica,22.11
7.2,3.2,0.847457627118644,1.8,Virginica,23.040000000000003
6.2,2.8,0.6440677966101694,1.8,Virginica,17.36
6.1,3.0,0.6610169491525424,1.8,Virginica,18.299999999999997
6.4,2.8,0.7796610169491525,2.1,Virginica,17.919999999999998
7.2,3.0,0.8135593220338982,1.6,Virginica,21.6
7.4,2.8,0.8644067796610169,1.9,Virginica,20.72
7.9,3.8,0.9152542372881356,2.0,Virginica,30.02
6.4,2.8,0.7796610169491525,2.2,Virginica,17.919999999999998
6.3,2.8,0.6949152542372881,1.5,Virginica,17.639999999999997
6.1,2.6,0.7796610169491525,1.4,Virginica,15.86
7.7,3.0,0.8644067796610169,2.3,Virginica,23.1
6.3,3.4,0.7796610169491525,2.4,Virginica,21.419999999999998
6.4,3.1,0.7627118644067796,1.8,Virginica,19.840000000000003
6.0,3.0,0.6440677966101694,1.8,Virginica,18.0
6.9,3.1,0.7457627118644068,2.1,Virginica,21.39
6.7,3.1,0.7796610169491525,2.4,Virginica,20.77
6.9,3.1,0.6949152542372881,2.3,Virginica,21.39
5.8,2.7,0.6949152542372881,1.9,Virginica,15.66
6.8,3.2,0.8305084745762712,2.3,Virginica,21.76
6.7,3.3,0.7966101694915254,2.5,Virginica,22.11
6.7,3.0,0.711864406779661,2.3,Virginica,20.1
6.3,2.5,0.6779661016949152,1.9,Virginica,15.75
6.5,3.0,0.711864406779661,2.0,Virginica,19.5
6.2,3.4,0.7457627118644068,2.3,Virginica,21.08
5.9,3.0,0.6949152542372881,1.8,Virginica,17.700000000000003
